name_1,name_2
Koto-ds3-fulldim7_inv3,Koto-a3-fulldim7_inv1
Koto-ds3-fulldim7_inv3,Koto-fs3-fulldim7_inv2
Koto-ds3-fulldim7_inv3,Koto-c4-fulldim7_inv0
Koto-gs3-fulldim7_inv0,Koto-d3-fulldim7_inv2
Ocarina-a3-fulldim7_inv2,Ocarina-c4-fulldim7_inv1
Ocarina-a3-fulldim7_inv2,Ocarina-ds4-fulldim7_inv0
Ocarina-a3-fulldim7_inv2,Ocarina-fs3-fulldim7_inv3
Recorder-a3-fulldim7_inv2,Recorder-c4-fulldim7_inv1
Recorder-a3-fulldim7_inv2,Recorder-fs3-fulldim7_inv3
Recorder-a3-fulldim7_inv2,Recorder-ds4-fulldim7_inv0
BrightAcousticPiano-fs3-fulldim7_inv2,BrightAcousticPiano-ds3-fulldim7_inv3
BrightAcousticPiano-fs3-fulldim7_inv2,BrightAcousticPiano-c4-fulldim7_inv0
BrightAcousticPiano-fs3-fulldim7_inv2,BrightAcousticPiano-a3-fulldim7_inv1
AcousticBass-d4-fulldim7_inv1,AcousticBass-gs3-fulldim7_inv3
AcousticBass-d4-fulldim7_inv1,AcousticBass-b3-fulldim7_inv2
AcousticBass-d4-fulldim7_inv1,AcousticBass-f4-fulldim7_inv0
Trombone-d3-fulldim7_inv2,Trombone-f3-fulldim7_inv1
SlapBass2-e3-fulldim7_inv2,SlapBass2-g3-fulldim7_inv1
SlapBass2-e3-fulldim7_inv2,SlapBass2-cs3-fulldim7_inv3
SlapBass2-e3-fulldim7_inv2,SlapBass2-as3-fulldim7_inv0
EnglishHorn-e3-fulldim7_inv2,EnglishHorn-g3-fulldim7_inv1
EnglishHorn-e3-fulldim7_inv2,EnglishHorn-cs3-fulldim7_inv3
EnglishHorn-e3-fulldim7_inv2,EnglishHorn-as3-fulldim7_inv0
Trumpet-c4-fulldim7_inv0,Trumpet-fs3-fulldim7_inv2
Trumpet-c4-fulldim7_inv0,Trumpet-ds3-fulldim7_inv3
Trumpet-c4-fulldim7_inv0,Trumpet-a3-fulldim7_inv1
Pad6(metallic)-a3-fulldim7_inv2,Pad6(metallic)-c4-fulldim7_inv1
Pad6(metallic)-a3-fulldim7_inv2,Pad6(metallic)-fs3-fulldim7_inv3
Pad6(metallic)-a3-fulldim7_inv2,Pad6(metallic)-ds4-fulldim7_inv0
StringEnsemble1-g3-fulldim7_inv3,StringEnsemble1-e4-fulldim7_inv0
StringEnsemble1-g3-fulldim7_inv3,StringEnsemble1-cs4-fulldim7_inv1
StringEnsemble1-g3-fulldim7_inv3,StringEnsemble1-as3-fulldim7_inv2
Trombone-fs3-fulldim7_inv1,Trombone-c3-fulldim7_inv3
Trombone-fs3-fulldim7_inv1,Trombone-ds3-fulldim7_inv2
Trombone-fs3-fulldim7_inv1,Trombone-a3-fulldim7_inv0
Pad4(choir)-a3-fulldim7_inv0,Pad4(choir)-c3-fulldim7_inv3
Pad4(choir)-a3-fulldim7_inv0,Pad4(choir)-fs3-fulldim7_inv1
Pad4(choir)-a3-fulldim7_inv0,Pad4(choir)-ds3-fulldim7_inv2
SynthBrass2-as3-fulldim7_inv0,SynthBrass2-cs3-fulldim7_inv3
SynthBrass2-as3-fulldim7_inv0,SynthBrass2-e3-fulldim7_inv2
SynthBrass2-as3-fulldim7_inv0,SynthBrass2-g3-fulldim7_inv1
ChurchOrgan-as3-fulldim7_inv1,ChurchOrgan-cs4-fulldim7_inv0
ChurchOrgan-as3-fulldim7_inv1,ChurchOrgan-e3-fulldim7_inv3
ChurchOrgan-as3-fulldim7_inv1,ChurchOrgan-g3-fulldim7_inv2
PanFlute-g3-fulldim7_inv0,PanFlute-e3-fulldim7_inv1
PanFlute-g3-fulldim7_inv0,PanFlute-cs3-fulldim7_inv2
ElectricGuitar(clean)-b3-fulldim7_inv2,ElectricGuitar(clean)-d4-fulldim7_inv1
ElectricGuitar(clean)-b3-fulldim7_inv2,ElectricGuitar(clean)-f4-fulldim7_inv0
ElectricGuitar(clean)-b3-fulldim7_inv2,ElectricGuitar(clean)-gs3-fulldim7_inv3
