name_1,name_2
Woodblock_MelodicTom-bpm_180-rvb_1-offms_1067-2a3,Woodblock_MelodicTom-bpm_180-rvb_1-offms_204-2a3
Woodblock_MelodicTom-bpm_180-rvb_1-offms_1067-2a3,Woodblock_MelodicTom-bpm_180-rvb_1-offms_700-2a3
Woodblock_MelodicTom-bpm_180-rvb_1-offms_1067-2a3,Woodblock_MelodicTom-bpm_180-rvb_1-offms_0-2a3
Woodblock_MelodicTom-bpm_180-rvb_1-offms_1067-2a3,Woodblock_MelodicTom-bpm_180-rvb_1-offms_120-2a3
Woodblock_MelodicTom-bpm_60-rvb_0-offms_0-7a9,Woodblock_MelodicTom-bpm_60-rvb_0-offms_120-7a9
Woodblock_MelodicTom-bpm_60-rvb_0-offms_0-7a9,Woodblock_MelodicTom-bpm_60-rvb_0-offms_700-7a9
Woodblock_MelodicTom-bpm_60-rvb_0-offms_0-7a9,Woodblock_MelodicTom-bpm_60-rvb_0-offms_204-7a9
Woodblock_MelodicTom-bpm_60-rvb_0-offms_0-7a9,Woodblock_MelodicTom-bpm_60-rvb_0-offms_1067-7a9
TaikoDrum_Woodblock-bpm_60-rvb_0-offms_204-2a7,TaikoDrum_Woodblock-bpm_60-rvb_0-offms_120-2a7
TaikoDrum_Woodblock-bpm_60-rvb_0-offms_204-2a7,TaikoDrum_Woodblock-bpm_60-rvb_0-offms_700-2a7
TaikoDrum_Woodblock-bpm_60-rvb_0-offms_204-2a7,TaikoDrum_Woodblock-bpm_60-rvb_0-offms_1067-2a7
DSnareDrum1_TaikoDrum-bpm_180-rvb_0-offms_120-3a4,DSnareDrum1_TaikoDrum-bpm_180-rvb_0-offms_0-3a4
DSnareDrum1_TaikoDrum-bpm_180-rvb_0-offms_120-3a4,DSnareDrum1_TaikoDrum-bpm_180-rvb_0-offms_204-3a4
DSnareDrum1_TaikoDrum-bpm_180-rvb_0-offms_120-3a4,DSnareDrum1_TaikoDrum-bpm_180-rvb_0-offms_700-3a4
DSnareDrum1_TaikoDrum-bpm_180-rvb_0-offms_120-3a4,DSnareDrum1_TaikoDrum-bpm_180-rvb_0-offms_1067-3a4
Woodblock_MelodicTom-bpm_120-rvb_1-offms_700-2a5,Woodblock_MelodicTom-bpm_120-rvb_1-offms_1067-2a5
Woodblock_MelodicTom-bpm_120-rvb_1-offms_700-2a5,Woodblock_MelodicTom-bpm_120-rvb_1-offms_120-2a5
Woodblock_MelodicTom-bpm_120-rvb_1-offms_700-2a5,Woodblock_MelodicTom-bpm_120-rvb_1-offms_0-2a5
Woodblock_MelodicTom-bpm_120-rvb_1-offms_700-2a5,Woodblock_MelodicTom-bpm_120-rvb_1-offms_204-2a5
DSnareDrum1_TaikoDrum-bpm_60-rvb_1-offms_204-5a8,DSnareDrum1_TaikoDrum-bpm_60-rvb_1-offms_120-5a8
